method,set,parameter,d,n,m,repeats,time_mean_sec,time_std_sec
mmd_oracle,Set3,"(0.0, 1.1)",1000,200,200,1,0.2011616910003795,0.0
mmd_oracle,Set3,"(0.05, 1.05)",50,200,200,1,0.06284624399995664,0.0
mmd_oracle,Set3,"(0.05, 1.05)",100,200,200,1,0.07136574299966014,0.0
mmd_oracle,Set3,"(0.05, 1.05)",500,200,200,1,0.1277510820000316,0.0
mmd_oracle,Set3,"(0.05, 1.05)",1000,200,200,1,0.2057251369997175,0.0
mmd_permu,Set1,"(0.05, 0.5)",50,100,100,1,0.042237106999891694,0.0
mmd_permu,Set1,"(0.05, 0.5)",100,100,100,1,0.04197834899969166,0.0
mmd_permu,Set1,"(0.05, 0.5)",500,100,100,1,0.04476946299928386,0.0
mmd_permu,Set1,"(0.05, 0.5)",1000,100,100,1,0.04857148300015979,0.0
mmd_permu,Set1,"(0.1, 1.3)",50,100,100,1,0.04172618400025385,0.0
mmd_permu,Set1,"(0.1, 1.3)",100,100,100,1,0.04193699099960213,0.0
mmd_permu,Set1,"(0.1, 1.3)",500,100,100,1,0.04483105899998918,0.0
mmd_permu,Set1,"(0.1, 1.3)",1000,100,100,1,0.048283740999977454,0.0
mmd_permu,Set1,"(-0.05, 0.6)",50,100,100,1,0.04177374300070369,0.0
mmd_permu,Set1,"(-0.05, 0.6)",100,100,100,1,0.04193655999915791,0.0
mmd_permu,Set1,"(-0.05, 0.6)",500,100,100,1,0.04479271600030188,0.0
mmd_permu,Set1,"(-0.05, 0.6)",1000,100,100,1,0.048461145000146644,0.0
mmd_permu,Set2,3,50,100,100,1,0.04178710899941507,0.0
mmd_permu,Set2,3,100,100,100,1,0.04228206200059503,0.0
mmd_permu,Set2,3,500,100,100,1,0.04493500500029768,0.0
mmd_permu,Set2,3,1000,100,100,1,0.04883658299968374,0.0
mmd_permu,Set2,5,50,100,100,1,0.04163873800007423,0.0
mmd_permu,Set2,5,100,100,100,1,0.04199649399924965,0.0
mmd_permu,Set2,5,500,100,100,1,0.044908734999808075,0.0
mmd_permu,Set2,5,1000,100,100,1,0.048789724999551254,0.0
mmd_permu,Set2,10,50,100,100,1,0.04149557900018408,0.0
mmd_permu,Set2,10,100,100,100,1,0.04194667899992055,0.0
mmd_permu,Set2,10,500,100,100,1,0.04481109100015601,0.0
mmd_permu,Set2,10,1000,100,100,1,0.04869609799970931,0.0
mmd_permu,Set3,"(-0.05, 0.85)",50,100,100,1,0.04188496300048428,0.0
mmd_permu,Set3,"(-0.05, 0.85)",100,100,100,1,0.04228428500027803,0.0
mmd_permu,Set3,"(-0.05, 0.85)",500,100,100,1,0.04545796100046573,0.0
mmd_permu,Set3,"(-0.05, 0.85)",1000,100,100,1,0.04958349200023804,0.0
mmd_permu,Set3,"(0.0, 1.1)",50,100,100,1,0.041817105000518495,0.0
mmd_permu,Set3,"(0.0, 1.1)",100,100,100,1,0.042142719000366924,0.0
mmd_permu,Set3,"(0.0, 1.1)",500,100,100,1,0.045217708000564016,0.0
mmd_permu,Set3,"(0.0, 1.1)",1000,100,100,1,0.04943765700045333,0.0
mmd_permu,Set3,"(0.05, 1.05)",50,100,100,1,0.04183671200007666,0.0
mmd_permu,Set3,"(0.05, 1.05)",100,100,100,1,0.0421233619999839,0.0
mmd_permu,Set3,"(0.05, 1.05)",500,100,100,1,0.04521389099954831,0.0
mmd_permu,Set3,"(0.05, 1.05)",1000,100,100,1,0.0499060610000015,0.0
BMMD,Set1,"(0.05, 0.5)",50,100,100,1,0.0006776679992981371,0.0
BMMD,Set1,"(0.05, 0.5)",100,100,100,1,0.000719998000022315,0.0
